"pytorch-operator-847c8d55d8-vwn7j:      gcr.io/kubeflow-images-public/pytorch-operator:vmaster-g518f9c76,",pytorch-operator-847c8d55d8-vwn7j,"gcr.io/kubeflow-images-public/pytorch-operator:vmaster-g518f9c76,"
"seldon-controller-manager-567697559d-w5wpn:     docker.io/seldonio/seldon-core-operator:1.4.0,",seldon-controller-manager-567697559d-w5wpn,"docker.io/seldonio/seldon-core-operator:1.4.0,"
"tf-job-operator-58477797f8-zdc26:       gcr.io/kubeflow-images-public/tf_operator:vmaster-gda226016,",tf-job-operator-58477797f8-zdc26,"gcr.io/kubeflow-images-public/tf_operator:vmaster-gda226016,"
"workflow-controller-64fd7cffc5-7p485:   argoproj/workflow-controller:v2.3.0,",workflow-controller-64fd7cffc5-7p485,"argoproj/workflow-controller:v2.3.0,"
,,
"istio-citadel-7875d6b485-mvlsx: docker.io/istio/citadel:1.1.6,",istio-citadel-7875d6b485-mvlsx,"docker.io/istio/citadel:1.1.6,"
"istio-cleanup-secrets-1.1.6-hlfxg:      docker.io/istio/kubectl:1.1.6,",istio-cleanup-secrets-1.1.6-hlfxg,"docker.io/istio/kubectl:1.1.6,"
"istio-egressgateway-5dd6fd868-d4g5h:    docker.io/istio/proxyv2:1.1.6,",istio-egressgateway-5dd6fd868-d4g5h,"docker.io/istio/proxyv2:1.1.6,"
"istio-egressgateway-5dd6fd868-fwkv7:    docker.io/istio/proxyv2:1.1.6,",istio-egressgateway-5dd6fd868-fwkv7,"docker.io/istio/proxyv2:1.1.6,"
"istio-egressgateway-5dd6fd868-hwhnf:    docker.io/istio/proxyv2:1.1.6,",istio-egressgateway-5dd6fd868-hwhnf,"docker.io/istio/proxyv2:1.1.6,"
"istio-egressgateway-5dd6fd868-kcktl:    docker.io/istio/proxyv2:1.1.6,",istio-egressgateway-5dd6fd868-kcktl,"docker.io/istio/proxyv2:1.1.6,"
"istio-galley-575f4488c8-d5rcw:  docker.io/istio/galley:1.1.6,",istio-galley-575f4488c8-d5rcw,"docker.io/istio/galley:1.1.6,"
"istio-grafana-post-install-1.1.6-88hhw: docker.io/istio/kubectl:1.1.6,",istio-grafana-post-install-1.1.6-88hhw,"docker.io/istio/kubectl:1.1.6,"
"istio-ingressgateway-68bf5c474c-7gcv5:  docker.io/istio/proxyv2:1.1.6,",istio-ingressgateway-68bf5c474c-7gcv5,"docker.io/istio/proxyv2:1.1.6,"
"istio-ingressgateway-68bf5c474c-rs6nh:  docker.io/istio/proxyv2:1.1.6,",istio-ingressgateway-68bf5c474c-rs6nh,"docker.io/istio/proxyv2:1.1.6,"
"istio-ingressgateway-68bf5c474c-rxk45:  docker.io/istio/proxyv2:1.1.6,",istio-ingressgateway-68bf5c474c-rxk45,"docker.io/istio/proxyv2:1.1.6,"
"istio-ingressgateway-68bf5c474c-tl4b6:  docker.io/istio/proxyv2:1.1.6,",istio-ingressgateway-68bf5c474c-tl4b6,"docker.io/istio/proxyv2:1.1.6,"
"istio-ingressgateway-68bf5c474c-wb4x6:  docker.io/istio/proxyv2:1.1.6,",istio-ingressgateway-68bf5c474c-wb4x6,"docker.io/istio/proxyv2:1.1.6,"
"istio-pilot-59848fddcc-l8xj8:   docker.io/istio/pilot:1.1.6, docker.io/istio/proxyv2:1.1.6,",istio-pilot-59848fddcc-l8xj8,"docker.io/istio/pilot:1.1.6, docker.io/istio/proxyv2:1.1.6,"
"istio-pilot-59848fddcc-wgxjr:   docker.io/istio/pilot:1.1.6, docker.io/istio/proxyv2:1.1.6,",istio-pilot-59848fddcc-wgxjr,"docker.io/istio/pilot:1.1.6, docker.io/istio/proxyv2:1.1.6,"
"istio-policy-6fcf9ff577-dhrr2:  docker.io/istio/mixer:1.1.6, docker.io/istio/proxyv2:1.1.6,",istio-policy-6fcf9ff577-dhrr2,"docker.io/istio/mixer:1.1.6, docker.io/istio/proxyv2:1.1.6,"
"istio-policy-6fcf9ff577-nzmv9:  docker.io/istio/mixer:1.1.6, docker.io/istio/proxyv2:1.1.6,",istio-policy-6fcf9ff577-nzmv9,"docker.io/istio/mixer:1.1.6, docker.io/istio/proxyv2:1.1.6,"
"istio-security-post-install-1.1.6-66klk:        docker.io/istio/kubectl:1.1.6,",istio-security-post-install-1.1.6-66klk,"docker.io/istio/kubectl:1.1.6,"
"istio-sidecar-injector-fc5f57b94-nkc6p: docker.io/istio/sidecar_injector:1.1.6,",istio-sidecar-injector-fc5f57b94-nkc6p,"docker.io/istio/sidecar_injector:1.1.6,"
"istio-telemetry-6cb7b6c7c-kkdzc:        docker.io/istio/mixer:1.1.6, docker.io/istio/proxyv2:1.1.6,",istio-telemetry-6cb7b6c7c-kkdzc,"docker.io/istio/mixer:1.1.6, docker.io/istio/proxyv2:1.1.6,"
"istio-tracing-6b4954c95f-clbht: docker.io/jaegertracing/all-in-one:1.9,",istio-tracing-6b4954c95f-clbht,"docker.io/jaegertracing/all-in-one:1.9,"
"kiali-7bf4494b7f-2nx66: docker.io/kiali/kiali:v0.16,",kiali-7bf4494b7f-2nx66,"docker.io/kiali/kiali:v0.16,"
"prometheus-9554bc677-67nvb:     docker.io/prom/prometheus:v2.3.1,",prometheus-9554bc677-67nvb,"docker.io/prom/prometheus:v2.3.1,"
,,
"cert-manager-7c75b559c4-jdwgs:  quay.io/jetstack/cert-manager-controller:v0.11.0,",cert-manager-7c75b559c4-jdwgs,"quay.io/jetstack/cert-manager-controller:v0.11.0,"
"cert-manager-cainjector-7f964fd7b5-fwdth:       quay.io/jetstack/cert-manager-cainjector:v0.11.0,",cert-manager-cainjector-7f964fd7b5-fwdth,"quay.io/jetstack/cert-manager-cainjector:v0.11.0,"
"cert-manager-webhook-566dd99d6-zc4zs:   quay.io/jetstack/cert-manager-webhook:v0.11.0,",cert-manager-webhook-566dd99d6-zc4zs,"quay.io/jetstack/cert-manager-webhook:v0.11.0,"
